Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,passage-pant-black,Passage Pant - Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>31994492944487</variant></size><size instock=""true""><string>29</string><variant>31994493632615</variant></size><size instock=""true""><string>30</string><variant>12921353273447</variant></size><size instock=""true""><string>31</string><variant>12921353732199</variant></size><size instock=""true""><string>32</string><variant>12921354354791</variant></size><size instock=""true""><string>33</string><variant>12921355599975</variant></size><size instock=""true""><string>34</string><variant>12921373327463</variant></size><size instock=""true""><string>36</string><variant>12921374572647</variant></size><size instock=""true""><string>38</string><variant>12921356157031</variant></size><size instock=""true""><string>40</string><variant>31966601773159</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, oliver-s-fulfillment, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=31994492944487,,,,408,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage_Pant_-_Black_jpg.jpg?v=1601310561,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-dark-navy,Passage Pant - Dark Navy,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>31994499072103</variant></size><size instock=""true""><string>29</string><variant>31994499596391</variant></size><size instock=""true""><string>30</string><variant>20212391813</variant></size><size instock=""true""><string>31</string><variant>20212391877</variant></size><size instock=""true""><string>32</string><variant>20212429253</variant></size><size instock=""true""><string>33</string><variant>20212465989</variant></size><size instock=""true""><string>34</string><variant>20212474309</variant></size><size instock=""true""><string>36</string><variant>42488085072</variant></size><size instock=""true""><string>38</string><variant>12921368641639</variant></size><size instock=""false""><string>40</string><variant>31966631624807</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, oliver-s-fulfillment, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=31994499072103,,,,408,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage_Pant_-_Dark_Navy_jpg.jpg?v=1601310561,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-cinder,Passage Pant - Cinder,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>31994497957991</variant></size><size instock=""true""><string>29</string><variant>31994498547815</variant></size><size instock=""true""><string>30</string><variant>31966615208039</variant></size><size instock=""true""><string>31</string><variant>31966615306343</variant></size><size instock=""true""><string>32</string><variant>31966615666791</variant></size><size instock=""true""><string>33</string><variant>31966616453223</variant></size><size instock=""true""><string>34</string><variant>31966616879207</variant></size><size instock=""true""><string>36</string><variant>31966620090471</variant></size><size instock=""true""><string>38</string><variant>31966620647527</variant></size><size instock=""true""><string>40</string><variant>31966623563879</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, oliver-s-fulfillment, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=31994497957991,,,,408,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage---Cinder.jpg?v=1601310561,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-dark-olive,Passage Pant - Dark Olive,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>32922891747431</variant></size><size instock=""true""><string>29</string><variant>32922893680743</variant></size><size instock=""true""><string>30</string><variant>29958696665191</variant></size><size instock=""true""><string>31</string><variant>29958696697959</variant></size><size instock=""true""><string>32</string><variant>29958696730727</variant></size><size instock=""true""><string>33</string><variant>29958696763495</variant></size><size instock=""true""><string>34</string><variant>29958696796263</variant></size><size instock=""true""><string>36</string><variant>29958696829031</variant></size><size instock=""true""><string>38</string><variant>29958705053799</variant></size><size instock=""true""><string>40</string><variant>32922895482983</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, oliver-s-fulfillment, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=32922891747431,,,,408,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage_Pant_-_Dark_Olive_jpg.jpg?v=1601310561,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-dark-olive,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage-Pant---Dark-Olive.jpg?v=1602711342,2
,passage-pant-carbon,Passage Pant - Carbon,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>31994496581735</variant></size><size instock=""true""><string>29</string><variant>31994497302631</variant></size><size instock=""true""><string>30</string><variant>29958713442407</variant></size><size instock=""true""><string>31</string><variant>29958713475175</variant></size><size instock=""true""><string>32</string><variant>29958713507943</variant></size><size instock=""true""><string>33</string><variant>29958713540711</variant></size><size instock=""true""><string>34</string><variant>29958713606247</variant></size><size instock=""true""><string>36</string><variant>29958713639015</variant></size><size instock=""true""><string>38</string><variant>29958713704551</variant></size><size instock=""true""><string>40</string><variant>31966604722279</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, oliver-s-fulfillment, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=31994496581735,,,,408,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage_Pant_-_Carbon_jpg.jpg?v=1601310561,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-carbon,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage_Pant_-_Dark_Olive_jpg.jpg?v=1601310561,2
,passage-pant-navy,Passage Pant - Navy,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>31994499072103</variant></size><size instock=""true""><string>29</string><variant>31994499596391</variant></size><size instock=""true""><string>30</string><variant>20212391813</variant></size><size instock=""true""><string>31</string><variant>20212391877</variant></size><size instock=""true""><string>32</string><variant>20212429253</variant></size><size instock=""true""><string>33</string><variant>20212465989</variant></size><size instock=""true""><string>34</string><variant>20212474309</variant></size><size instock=""true""><string>36</string><variant>42488085072</variant></size><size instock=""true""><string>38</string><variant>12921368641639</variant></size><size instock=""false""><string>40</string><variant>31966631624807</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, oliver-s-fulfillment, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=31994499072103,,,,408,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage_Pant_Navy_Web.jpg?v=1602711421,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-military-olive,Passage Pant - Military Olive,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>31994504314983</variant></size><size instock=""true""><string>29</string><variant>31994505035879</variant></size><size instock=""true""><string>30</string><variant>31966650007655</variant></size><size instock=""true""><string>31</string><variant>31966651220071</variant></size><size instock=""true""><string>32</string><variant>31966652858471</variant></size><size instock=""true""><string>33</string><variant>31966653382759</variant></size><size instock=""true""><string>34</string><variant>31966654562407</variant></size><size instock=""true""><string>36</string><variant>31966658330727</variant></size><size instock=""true""><string>38</string><variant>31966660493415</variant></size><size instock=""true""><string>40</string><variant>32922900627559</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, oliver-s-fulfillment, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=31994504314983,,,,408,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage---Military-Olive.jpg?v=1601310561,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-military-olive,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage-Pant---Dark-Olive.jpg?v=1602711342,2
,passage-pant-moss,Passage Pant - Moss,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>32922906656871</variant></size><size instock=""true""><string>29</string><variant>32922907934823</variant></size><size instock=""true""><string>30</string><variant>20761345851495</variant></size><size instock=""true""><string>31</string><variant>20761345917031</variant></size><size instock=""true""><string>32</string><variant>20761345982567</variant></size><size instock=""true""><string>33</string><variant>20761346015335</variant></size><size instock=""true""><string>34</string><variant>20761346113639</variant></size><size instock=""true""><string>36</string><variant>20761346179175</variant></size><size instock=""true""><string>38</string><variant>20761346080871</variant></size><size instock=""true""><string>40</string><variant>32922911080551</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, oliver-s-fulfillment, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=32922906656871,,,,408,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/PassagePant-Moss-2.jpg?v=1601310561,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-saddle-brown,Passage Pant - Saddle Brown,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>32922931626087</variant></size><size instock=""true""><string>29</string><variant>32922935296103</variant></size><size instock=""true""><string>30</string><variant>32922937852007</variant></size><size instock=""true""><string>31</string><variant>32922941849703</variant></size><size instock=""true""><string>32</string><variant>32922944438375</variant></size><size instock=""true""><string>33</string><variant>32922945814631</variant></size><size instock=""true""><string>34</string><variant>32922947223655</variant></size><size instock=""true""><string>36</string><variant>32922948730983</variant></size><size instock=""true""><string>38</string><variant>32922949943399</variant></size><size instock=""true""><string>40</string><variant>32922951843943</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, oliver-s-fulfillment, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=32922931626087,,,,408,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage_Pant_Saddle_Brown_Web.jpg?v=1602711488,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-saddle-brown,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage_DarkNavy_1.jpg?v=1602711588,2
,passage-pant-saddle-brown,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage_DarkNavy_2.jpg?v=1602711591,3
